Constituents,Symbol,Macro-Economic Sector
Fujiyama Power Systems Limited,544613,Industrials
FUSION FINANCE LIMITED,543652,Financial Services
G R Infraprojects Limited,543317,Industrials
GABRIEL INDIA LTD.,505714,Consumer Discretionary
GAIL (INDIA) LTD.,532155,Energy
Galaxy Surfactants Limited,540935,Commodities
GALLANTT ISPAT LIMITED,532726,Industrials
GANESH HOUSING LIMITED,526367,Consumer Discretionary
GANESHA ECOSPHERE LTD.,514167,Consumer Discretionary
Garden Reach Shipbuilders & En,542011,Industrials
GARWARE HI-TECH FILMS LIMITED,500655,Industrials
GARWARE TECHNICAL FIBRES LIMIT,509557,Consumer Discretionary
Gateway Distriparks Limited,543489,Services
GE Vernova T&D India Limited,522275,Industrials
General Insurance Corporation,540755,Financial Services
Geojit Financial Services Limi,532285,Financial Services
GHCL LTD.,500171,Commodities
GILLETTE INDIA LTD.,507815,Fast Moving Consumer Goods
Gland Pharma Limited,543245,Healthcare
GLAXOSMITHKLINE PHARMACEUTICAL,500660,Healthcare
GLENMARK PHARMACEUTICALS LTD.,532296,Healthcare
Global Health Limited,543654,Healthcare
GLOBUS SPIRITS LTD.,533104,Fast Moving Consumer Goods
GMM PFAUDLER LTD.,505255,Industrials
GMR Airports Limited,532754,Services
GMR Power and Urban Infra Limi,543490,Utilities
Go Digit General Insurance Lim,544179,Financial Services
Go Fashion (India) Limited,543401,Consumer Discretionary
GODAWARI POWER & ISPAT LTD.,532734,Industrials
GODFREY PHILLIPS INDIA LTD.,500163,Fast Moving Consumer Goods
Godrej Agrovet Limited,540743,Fast Moving Consumer Goods
GODREJ CONSUMER PRODUCTS LTD.,532424,Fast Moving Consumer Goods
GODREJ INDUSTRIES LTD.,500164,Diversified
GODREJ PROPERTIES LTD,533150,Consumer Discretionary
GOKALDAS EXPORTS LTD.,532630,Consumer Discretionary
Gokul Agro Resources Ltd,539725,Fast Moving Consumer Goods
GOLDIAM INTERNATIONAL LTD.,526729,Consumer Discretionary
Goodluck India Limited,530655,Industrials
GOODYEAR INDIA LTD.,500168,Consumer Discretionary
Gopal Snacks Limited,544140,Fast Moving Consumer Goods
GRANULES INDIA LTD.,532482,Healthcare
GRAPHITE INDIA LTD.,509488,Industrials
GRASIM INDUSTRIES LTD.,500300,Commodities
GRAUER & WEIL (INDIA) LTD.,505710,Commodities
GRAVITA INDIA LTD.,533282,Commodities
GREAT EASTERN SHIPPING CO.LTD.,500620,Services
GREAVES COTTON LTD.,501455,Industrials
Greenlam Industries Ltd,538979,Consumer Discretionary
Greenpanel Industries Limited,542857,Consumer Discretionary
GREENPLY INDUSTRIES LTD.,526797,Consumer Discretionary
GRINDWELL NORTON LTD.,506076,Industrials
GSPL Transmission Limited,544801,-
GUFIC BIOSCIENCES LTD.,509079,Healthcare
GUJARAT ALKALIES & CHEMICALS L,530001,Commodities
GUJARAT AMBUJA EXPORTS LTD.,524226,Fast Moving Consumer Goods
Gujarat Energy Limited,539336,Energy
Gujarat Fluorochemicals Limite,542812,Commodities
GUJARAT INDUSTRIES POWER CO.LT,517300,Utilities
GUJARAT MINERAL DEVELOPMENT CO,532181,Commodities
GUJARAT NARMADA VALLEY FERTILI,500670,Commodities
GUJARAT PIPAVAV PORT LTD.,533248,Services
GUJARAT STATE FERTILIZERS & CH,500690,Commodities
GULF OIL LUBRICANTS INDIA LTD,538567,Energy
H.G. Infra Engineering Limited,541019,Industrials
Happiest Minds Technologies Li,543227,Information Technology
Happy Forgings Limited,544057,Industrials
Harsha Engineers International,543600,Industrials
HATHWAY CABLE & DATACOM LTD,533162,Consumer Discretionary
HATSUN AGRO PRODUCT LTD.,531531,Fast Moving Consumer Goods
HAVELLS INDIA LTD.,517354,Consumer Discretionary
HAWKINS COOKERS LTD.,508486,Consumer Discretionary
HBL ENGINEERING LIMITED,517271,Industrials
HCL TECHNOLOGIES LTD.,532281,Information Technology
HDB FINANCIAL SERVICES LIMITED,544429,Financial Services
HDFC Asset Management Company,541729,Financial Services
HDFC BANK LTD.,500180,Financial Services
HDFC LIFE INSURANCE COMPANY LI,540777,Financial Services
HealthCare Global Enterprises,539787,Healthcare
HEG LTD.,509631,Industrials
HEIDELBERGCEMENT INDIA LTD.,500292,Commodities
Hemisphere Properties India Li,543242,Services
HERITAGE FOODS LIMITED,519552,Fast Moving Consumer Goods
HERO MOTOCORP LTD.,500182,Consumer Discretionary
Hexaware Technologies Limited,544362,Information Technology
HFCL LIMITED,500183,Telecommunication
HIKAL LTD.,524735,Healthcare
Himadri Speciality Chemical Lt,500184,Commodities
HINDALCO INDUSTRIES LTD.,500440,Commodities
HINDUJA GLOBAL SOLUTIONS LTD.,532859,Services
Hindustan Aeronautics Limited,541154,Industrials
HINDUSTAN CONSTRUCTION CO.LTD.,500185,Industrials
HINDUSTAN COPPER LTD.,513599,Commodities
HINDUSTAN FOODS LTD.,519126,Fast Moving Consumer Goods
HINDUSTAN OIL EXPLORATION CO.L,500186,Energy
HINDUSTAN PETROLEUM CORPORATIO,500104,Energy
HINDUSTAN UNILEVER LTD.,500696,Fast Moving Consumer Goods
HINDUSTAN ZINC LTD.,500188,Commodities
Hindware Home Innovation Limit,542905,Consumer Discretionary
HITACHI ENERGY INDIA LIMITED,543187,Industrials
HLE GLASCOAT LIMITED,522215,Industrials
Home First Finance Company Ind,543259,Financial Services
Honasa Consumer Limited,544014,Fast Moving Consumer Goods
HONDA INDIA POWER PRODUCTS LIM,522064,Industrials
HONEYWELL AUTOMATION INDIA LTD,517174,Industrials
Housing &Urban Development Cor,540530,Financial Services
HYUNDAI MOTOR INDIA LIMITED,544274,Consumer Discretionary
ICICI BANK LTD.,532174,Financial Services
ICICI Lombard General Insuranc,540716,Financial Services
ICICI Prudential Asset Managem,544658,Financial Services
ICICI Prudential Life Insuranc,540133,Financial Services
